#averaged cross section (2l+1) excluded
#ang  Lt=0       Lt=1       Lt=2       Lt=3       Lt=4       Lt=5       Lt=6       Lt=7       Lt=8       Lt=9
  2 4.5593e-02 1.3573e-02 6.5279e-02 3.0098e-02 3.0945e-02 1.8520e-02 5.7146e-03 4.9216e-03 1.7251e-03 5.7526e-04
  4 4.4632e-02 1.3683e-02 6.4834e-02 2.9950e-02 3.1044e-02 1.8390e-02 5.7549e-03 4.9152e-03 1.7275e-03 5.7614e-04
  6 4.3075e-02 1.3854e-02 6.4116e-02 2.9708e-02 3.1201e-02 1.8178e-02 5.8203e-03 4.9046e-03 1.7314e-03 5.7758e-04
  8 4.0985e-02 1.4065e-02 6.3165e-02 2.9379e-02 3.1406e-02 1.7892e-02 5.9089e-03 4.8902e-03 1.7369e-03 5.7955e-04
 10 3.8445e-02 1.4293e-02 6.2023e-02 2.8973e-02 3.1645e-02 1.7542e-02 6.0168e-03 4.8722e-03 1.7439e-03 5.8199e-04
 12 3.5551e-02 1.4513e-02 6.0741e-02 2.8503e-02 3.1900e-02 1.7140e-02 6.1403e-03 4.8511e-03 1.7523e-03 5.8486e-04
 14 3.2408e-02 1.4697e-02 5.9371e-02 2.7981e-02 3.2152e-02 1.6699e-02 6.2750e-03 4.8273e-03 1.7619e-03 5.8808e-04
 16 2.9122e-02 1.4821e-02 5.7957e-02 2.7421e-02 3.2382e-02 1.6233e-02 6.4167e-03 4.8012e-03 1.7726e-03 5.9159e-04
 18 2.5796e-02 1.4865e-02 5.6541e-02 2.6841e-02 3.2572e-02 1.5754e-02 6.5600e-03 4.7734e-03 1.7844e-03 5.9534e-04
 20 2.2523e-02 1.4815e-02 5.5150e-02 2.6252e-02 3.2703e-02 1.5276e-02 6.7007e-03 4.7441e-03 1.7972e-03 5.9924e-04
 22 1.9386e-02 1.4662e-02 5.3798e-02 2.5667e-02 3.2762e-02 1.4810e-02 6.8349e-03 4.7139e-03 1.8106e-03 6.0325e-04
 24 1.6450e-02 1.4406e-02 5.2493e-02 2.5098e-02 3.2736e-02 1.4364e-02 6.9578e-03 4.6829e-03 1.8247e-03 6.0730e-04
 26 1.3767e-02 1.4051e-02 5.1228e-02 2.4554e-02 3.2616e-02 1.3946e-02 7.0667e-03 4.6514e-03 1.8393e-03 6.1137e-04
 28 1.1370e-02 1.3607e-02 4.9988e-02 2.4037e-02 3.2400e-02 1.3561e-02 7.1585e-03 4.6195e-03 1.8543e-03 6.1540e-04
 30 9.2796e-03 1.3088e-02 4.8755e-02 2.3551e-02 3.2086e-02 1.3210e-02 7.2315e-03 4.5874e-03 1.8694e-03 6.1938e-04
 32 7.4990e-03 1.2510e-02 4.7505e-02 2.3091e-02 3.1677e-02 1.2894e-02 7.2836e-03 4.5549e-03 1.8846e-03 6.2324e-04
 34 6.0218e-03 1.1889e-02 4.6217e-02 2.2652e-02 3.1181e-02 1.2612e-02 7.3147e-03 4.5218e-03 1.8996e-03 6.2708e-04
 36 4.8318e-03 1.1241e-02 4.4870e-02 2.2227e-02 3.0605e-02 1.2359e-02 7.3239e-03 4.4880e-03 1.9144e-03 6.3073e-04
 38 3.9044e-03 1.0583e-02 4.3449e-02 2.1804e-02 2.9959e-02 1.2130e-02 7.3115e-03 4.4532e-03 1.9285e-03 6.3426e-04
 40 3.2101e-03 9.9275e-03 4.1946e-02 2.1373e-02 2.9254e-02 1.1921e-02 7.2782e-03 4.4169e-03 1.9419e-03 6.3761e-04
 42 2.7160e-03 9.2834e-03 4.0359e-02 2.0925e-02 2.8499e-02 1.1724e-02 7.2251e-03 4.3788e-03 1.9543e-03 6.4083e-04
 44 2.3874e-03 8.6602e-03 3.8690e-02 2.0449e-02 2.7705e-02 1.1535e-02 7.1532e-03 4.3382e-03 1.9655e-03 6.4380e-04
 46 2.1896e-03 8.0628e-03 3.6949e-02 1.9939e-02 2.6878e-02 1.1347e-02 7.0641e-03 4.2947e-03 1.9749e-03 6.4653e-04
 48 2.0889e-03 7.4950e-03 3.5149e-02 1.9393e-02 2.6024e-02 1.1155e-02 6.9589e-03 4.2478e-03 1.9825e-03 6.4901e-04
 50 2.0542e-03 6.9591e-03 3.3307e-02 1.8808e-02 2.5149e-02 1.0954e-02 6.8392e-03 4.1967e-03 1.9878e-03 6.5111e-04
 52 2.0578e-03 6.4560e-03 3.1442e-02 1.8186e-02 2.4256e-02 1.0742e-02 6.7071e-03 4.1410e-03 1.9904e-03 6.5285e-04
 54 2.0762e-03 5.9847e-03 2.9572e-02 1.7533e-02 2.3345e-02 1.0516e-02 6.5638e-03 4.0803e-03 1.9901e-03 6.5408e-04
 56 2.0910e-03 5.5458e-03 2.7719e-02 1.6855e-02 2.2419e-02 1.0274e-02 6.4119e-03 4.0142e-03 1.9866e-03 6.5477e-04
 58 2.0887e-03 5.1370e-03 2.5900e-02 1.6159e-02 2.1480e-02 1.0015e-02 6.2519e-03 3.9422e-03 1.9795e-03 6.5483e-04
 60 2.0616e-03 4.7581e-03 2.4131e-02 1.5453e-02 2.0528e-02 9.7408e-03 6.0866e-03 3.8643e-03 1.9687e-03 6.5415e-04
 62 2.0066e-03 4.4073e-03 2.2426e-02 1.4743e-02 1.9567e-02 9.4515e-03 5.9159e-03 3.7805e-03 1.9540e-03 6.5272e-04
 64 1.9254e-03 4.0832e-03 2.0796e-02 1.4037e-02 1.8600e-02 9.1488e-03 5.7425e-03 3.6909e-03 1.9355e-03 6.5037e-04
 66 1.8227e-03 3.7841e-03 1.9252e-02 1.3339e-02 1.7631e-02 8.8342e-03 5.5659e-03 3.5959e-03 1.9130e-03 6.4708e-04
 68 1.7058e-03 3.5085e-03 1.7799e-02 1.2652e-02 1.6666e-02 8.5099e-03 5.3888e-03 3.4959e-03 1.8867e-03 6.4281e-04
 70 1.5827e-03 3.2546e-03 1.6442e-02 1.1979e-02 1.5711e-02 8.1789e-03 5.2100e-03 3.3916e-03 1.8568e-03 6.3742e-04
 72 1.4613e-03 3.0206e-03 1.5182e-02 1.1322e-02 1.4771e-02 7.8436e-03 5.0309e-03 3.2836e-03 1.8235e-03 6.3098e-04
 74 1.3484e-03 2.8043e-03 1.4021e-02 1.0680e-02 1.3852e-02 7.5060e-03 4.8514e-03 3.1730e-03 1.7869e-03 6.2336e-04
 76 1.2486e-03 2.6039e-03 1.2954e-02 1.0055e-02 1.2960e-02 7.1684e-03 4.6716e-03 3.0604e-03 1.7476e-03 6.1458e-04
 78 1.1643e-03 2.4173e-03 1.1977e-02 9.4476e-03 1.2098e-02 6.8325e-03 4.4915e-03 2.9468e-03 1.7058e-03 6.0467e-04
 80 1.0951e-03 2.2427e-03 1.1084e-02 8.8583e-03 1.1272e-02 6.5011e-03 4.3112e-03 2.8329e-03 1.6618e-03 5.9364e-04
 82 1.0392e-03 2.0785e-03 1.0267e-02 8.2884e-03 1.0483e-02 6.1755e-03 4.1306e-03 2.7196e-03 1.6161e-03 5.8152e-04
 84 9.9287e-04 1.9232e-03 9.5169e-03 7.7394e-03 9.7343e-03 5.8565e-03 3.9499e-03 2.6074e-03 1.5689e-03 5.6837e-04
 86 9.5213e-04 1.7758e-03 8.8258e-03 7.2128e-03 9.0262e-03 5.5454e-03 3.7696e-03 2.4970e-03 1.5207e-03 5.5426e-04
 88 9.1306e-04 1.6359e-03 8.1847e-03 6.7099e-03 8.3606e-03 5.2432e-03 3.5900e-03 2.3886e-03 1.4718e-03 5.3927e-04
 90 8.7248e-04 1.5033e-03 7.5856e-03 6.2319e-03 7.7373e-03 4.9507e-03 3.4118e-03 2.2827e-03 1.4224e-03 5.2348e-04
 92 8.2853e-04 1.3783e-03 7.0222e-03 5.7797e-03 7.1569e-03 4.6689e-03 3.2359e-03 2.1795e-03 1.3729e-03 5.0702e-04
 94 7.8051e-04 1.2612e-03 6.4898e-03 5.3534e-03 6.6188e-03 4.3980e-03 3.0632e-03 2.0790e-03 1.3235e-03 4.8997e-04
 96 7.2911e-04 1.1528e-03 5.9853e-03 4.9532e-03 6.1232e-03 4.1390e-03 2.8945e-03 1.9814e-03 1.2745e-03 4.7247e-04
 98 6.7572e-04 1.0535e-03 5.5078e-03 4.5789e-03 5.6683e-03 3.8921e-03 2.7311e-03 1.8867e-03 1.2262e-03 4.5464e-04
100 6.2212e-04 9.6369e-04 5.0575e-03 4.2303e-03 5.2532e-03 3.6578e-03 2.5737e-03 1.7949e-03 1.1785e-03 4.3659e-04
