# Reaction      C(32)/E      C(33)/E      C(B6)/E    
 1 19F(n,2n)    7.8514e-01   8.9896e-01   9.2400e-01
 2 24Mg(n,p)    9.7049e-01   1.0445e+00   1.0694e+00
 3 27Al(n,p)    1.0330e+00   1.0854e+00   1.1023e+00
 4 27Al(n,A)    9.2671e-01   1.0006e+00   1.0247e+00
 5 32S(n,p)     9.5738e-01   9.8828e-01   9.9485e-01
 6 46Ti(n,p)    9.1456e-01   9.6172e-01   9.7699e-01
 7 47Ti(n,p)    9.2555e-01   9.5296e-01   9.5849e-01
 8 48Ti(n,p)    8.4562e-01   9.0994e-01   9.3106e-01
 9 55Mn(n,2n)   8.7820e-01   9.9286e-01   1.0199e+00
10 54Fe(n,p)    9.7032e-01   1.0042e+00   1.0123e+00
11 56Fe(n,p)    8.8606e-01   9.4771e-01   9.6893e-01
12 59Co(n,A)    9.5487e-01   1.0267e+00   1.0506e+00
13 59Co(n,2n)   8.2194e-01   9.3204e-01   9.5761e-01
14 58Ni(n,p)    9.2723e-01   9.5804e-01   9.6507e-01
15 58Ni(n,2n)   6.8184e-01   7.9139e-01   8.1375e-01
16 63Cu(n,A)    1.0817e+00   1.1452e+00   1.1659e+00
17 63Cu(n,2n)   6.6417e-01   7.5871e-01   7.7981e-01
18 64Zn(n,p)    9.3508e-01   9.6779e-01   9.7555e-01
19 90Zr(n,2n)   7.2267e-01   8.3334e-01   8.5685e-01
20 115In(n,n')  9.7325e-01   9.8921e-01   9.9013e-01
21 127I(n,2n)   8.2068e-01   9.1578e-01   9.3992e-01
22 197Au(n,2n)  8.8360e-01   9.7435e-01   9.9928e-01
23 235U(n,f)    1.0125e+00   1.0124e+00   1.0124e+00
24 238U(n,f)    9.8000e-01   9.9894e-01   1.0005e+00
25 239Pu(n,f)   9.8138e-01   9.8284e-01   9.8253e-01
